actor,partner,item,x,unique.pair,selector,male,decision,pair,match.pair,dpair
3,14,1,4,24,1,0,0,24,133,3113
3,14,2,4,24,1,0,0,24,133,3113
3,14,3,3,24,1,0,0,24,133,3113
3,14,4,4,24,1,0,0,24,133,3113
3,14,5,3,24,1,0,0,24,133,3113
3,15,1,4,25,1,0,0,25,143,3335
3,15,2,4,25,1,0,0,25,143,3335
3,15,3,4,25,1,0,0,25,143,3335
3,15,4,4,25,1,0,0,25,143,3335
3,15,5,4,25,1,0,0,25,143,3335
3,16,1,3,26,1,0,0,26,153,3557
3,16,2,4,26,1,0,0,26,153,3557
3,16,3,3,26,1,0,0,26,153,3557
3,16,4,4,26,1,0,0,26,153,3557
3,16,5,3,26,1,0,0,26,153,3557
3,17,1,3,27,1,0,0,27,163,3779
3,17,2,3,27,1,0,0,27,163,3779
3,17,3,3,27,1,0,0,27,163,3779
3,17,4,4,27,1,0,0,27,163,3779
3,17,5,3,27,1,0,0,27,163,3779
3,18,1,3,28,1,0,0,28,173,4001
3,18,2,4,28,1,0,0,28,173,4001
3,18,3,3,28,1,0,0,28,173,4001
3,18,4,4,28,1,0,0,28,173,4001
3,18,5,3,28,1,0,0,28,173,4001
3,19,1,4,29,1,0,0,29,183,4223
3,19,2,4,29,1,0,0,29,183,4223
3,19,3,4,29,1,0,0,29,183,4223
3,19,4,4,29,1,0,0,29,183,4223
3,19,5,4,29,1,0,0,29,183,4223
3,20,1,3,30,1,0,0,30,193,4447
3,20,2,4,30,1,0,0,30,193,4447
3,20,3,3,30,1,0,0,30,193,4447
3,20,4,4,30,1,0,0,30,193,4447
3,20,5,3,30,1,0,0,30,193,4447
4,11,1,1,31,1,0,0,31,104,4669
4,11,2,3,31,1,0,0,31,104,4669
4,11,3,2,31,1,0,0,31,104,4669
4,11,4,3,31,1,0,0,31,104,4669
4,11,5,2,31,1,0,0,31,104,4669
4,12,1,3,32,1,0,0,32,114,4891
4,12,2,3,32,1,0,0,32,114,4891
4,12,3,4,32,1,0,0,32,114,4891
4,12,4,3,32,1,0,0,32,114,4891
4,12,5,3,32,1,0,0,32,114,4891
4,13,1,1,33,1,0,0,33,124,5113
4,13,2,2,33,1,0,0,33,124,5113
4,13,3,3,33,1,0,0,33,124,5113
4,13,4,3,33,1,0,0,33,124,5113
4,13,5,1,33,1,0,0,33,124,5113
4,14,1,3,34,1,0,1,34,134,5335
4,14,2,3,34,1,0,1,34,134,5335
4,14,3,4,34,1,0,1,34,134,5335
4,14,4,3,34,1,0,1,34,134,5335
4,14,5,3,34,1,0,1,34,134,5335
4,15,1,2,35,1,0,0,35,144,5557
4,15,2,3,35,1,0,0,35,144,5557
4,15,3,4,35,1,0,0,35,144,5557
4,15,4,3,35,1,0,0,35,144,5557
4,15,5,3,35,1,0,0,35,144,5557
4,16,1,2,36,1,0,0,36,154,5779
4,16,2,3,36,1,0,0,36,154,5779
4,16,3,1,36,1,0,0,36,154,5779
4,16,4,3,36,1,0,0,36,154,5779
4,16,5,1,36,1,0,0,36,154,5779
4,17,1,3,37,1,0,0,37,164,6001
4,17,2,4,37,1,0,0,37,164,6001
4,17,3,3,37,1,0,0,37,164,6001
4,17,4,4,37,1,0,0,37,164,6001
4,17,5,2,37,1,0,0,37,164,6001
4,18,1,2,38,1,0,0,38,174,6223
4,18,2,4,38,1,0,0,38,174,6223
4,18,3,2,38,1,0,0,38,174,6223
4,18,4,4,38,1,0,0,38,174,6223
4,18,5,2,38,1,0,0,38,174,6223
4,19,1,4,39,1,0,1,39,184,6445
4,19,2,3,39,1,0,1,39,184,6445
4,19,3,4,39,1,0,1,39,184,6445
4,19,4,4,39,1,0,1,39,184,6445
4,19,5,3,39,1,0,1,39,184,6445
4,20,1,3,40,1,0,1,40,194,6669
4,20,2,3,40,1,0,1,40,194,6669
4,20,3,4,40,1,0,1,40,194,6669
4,20,4,4,40,1,0,1,40,194,6669
4,20,5,4,40,1,0,1,40,194,6669
5,11,1,2,41,1,0,0,41,105,6819
5,11,2,0,41,1,0,0,41,105,6819
5,11,3,0,41,1,0,0,41,105,6819
5,11,4,3,41,1,0,0,41,105,6819
5,11,5,3,41,1,0,0,41,105,6819
5,12,1,3,42,1,0,0,42,115,6841
5,12,2,2,42,1,0,0,42,115,6841
5,12,3,2,42,1,0,0,42,115,6841
5,12,4,2,42,1,0,0,42,115,6841
5,12,5,2,42,1,0,0,42,115,6841
5,13,1,1,43,1,0,0,43,125,6863
5,13,2,2,43,1,0,0,43,125,6863
5,13,3,3,43,1,0,0,43,125,6863
5,13,4,3,43,1,0,0,43,125,6863
5,13,5,2,43,1,0,0,43,125,6863
5,14,1,3,44,1,0,1,44,135,6885
5,14,2,3,44,1,0,1,44,135,6885
5,14,3,3,44,1,0,1,44,135,6885
5,14,4,2,44,1,0,1,44,135,6885
5,14,5,3,44,1,0,1,44,135,6885
5,15,1,2,45,1,0,0,45,145,6907
5,15,2,1,45,1,0,0,45,145,6907
5,15,3,2,45,1,0,0,45,145,6907
5,15,4,3,45,1,0,0,45,145,6907
5,15,5,3,45,1,0,0,45,145,6907
5,16,1,2,46,1,0,1,46,155,6929
5,16,2,3,46,1,0,1,46,155,6929
5,16,3,2,46,1,0,1,46,155,6929
5,16,4,3,46,1,0,1,46,155,6929
5,16,5,3,46,1,0,1,46,155,6929
5,17,1,2,47,1,0,1,47,165,6951
5,17,2,2,47,1,0,1,47,165,6951
5,17,3,2,47,1,0,1,47,165,6951
5,17,4,3,47,1,0,1,47,165,6951
5,17,5,2,47,1,0,1,47,165,6951
5,18,1,2,48,1,0,1,48,175,6973
5,18,2,3,48,1,0,1,48,175,6973
5,18,3,2,48,1,0,1,48,175,6973
5,18,4,3,48,1,0,1,48,175,6973
5,18,5,2,48,1,0,1,48,175,6973
5,19,1,3,49,1,0,1,49,185,6995
5,19,2,3,49,1,0,1,49,185,6995
5,19,3,3,49,1,0,1,49,185,6995
5,19,4,3,49,1,0,1,49,185,6995
5,19,5,4,49,1,0,1,49,185,6995
5,20,1,4,50,1,0,1,50,195,7019
5,20,2,2,50,1,0,1,50,195,7019
5,20,3,4,50,1,0,1,50,195,7019
5,20,4,3,50,1,0,1,50,195,7019
5,20,5,4,50,1,0,1,50,195,7019
6,11,1,2,51,1,0,1,51,106,7041
6,11,2,3,51,1,0,1,51,106,7041
6,11,3,2,51,1,0,1,51,106,7041
6,11,4,3,51,1,0,1,51,106,7041
6,11,5,2,51,1,0,1,51,106,7041
6,12,1,2,52,1,0,1,52,116,7063
6,12,2,3,52,1,0,1,52,116,7063
6,12,3,2,52,1,0,1,52,116,7063
6,12,4,4,52,1,0,1,52,116,7063
6,12,5,3,52,1,0,1,52,116,7063
6,13,1,1,53,1,0,0,53,126,7085
6,13,2,1,53,1,0,0,53,126,7085
6,13,3,1,53,1,0,0,53,126,7085
6,13,4,4,53,1,0,0,53,126,7085
6,13,5,2,53,1,0,0,53,126,7085
6,14,1,3,54,1,0,1,54,136,7107
6,14,2,0,54,1,0,1,54,136,7107
6,14,3,3,54,1,0,1,54,136,7107
6,14,4,3,54,1,0,1,54,136,7107
6,14,5,4,54,1,0,1,54,136,7107
6,15,1,2,55,1,0,0,55,146,7129
6,15,2,1,55,1,0,0,55,146,7129
6,15,3,3,55,1,0,0,55,146,7129
6,15,4,3,55,1,0,0,55,146,7129
6,15,5,1,55,1,0,0,55,146,7129
6,16,1,1,56,1,0,0,56,156,7151
6,16,2,0,56,1,0,0,56,156,7151
6,16,3,0,56,1,0,0,56,156,7151
6,16,4,2,56,1,0,0,56,156,7151
6,16,5,0,56,1,0,0,56,156,7151
6,17,1,3,57,1,0,1,57,166,7173
6,17,2,1,57,1,0,1,57,166,7173
6,17,3,3,57,1,0,1,57,166,7173
6,17,4,3,57,1,0,1,57,166,7173
6,17,5,3,57,1,0,1,57,166,7173
6,18,1,1,58,1,0,0,58,176,7195
6,18,2,3,58,1,0,0,58,176,7195
6,18,3,0,58,1,0,0,58,176,7195
6,18,4,4,58,1,0,0,58,176,7195
6,18,5,2,58,1,0,0,58,176,7195
6,19,1,3,59,1,0,1,59,186,7217
6,19,2,2,59,1,0,1,59,186,7217
6,19,3,3,59,1,0,1,59,186,7217
6,19,4,3,59,1,0,1,59,186,7217
6,19,5,4,59,1,0,1,59,186,7217
6,20,1,3,60,1,0,1,60,196,7241
6,20,2,4,60,1,0,1,60,196,7241
6,20,3,4,60,1,0,1,60,196,7241
6,20,4,4,60,1,0,1,60,196,7241
6,20,5,4,60,1,0,1,60,196,7241
7,11,1,1,61,1,0,0,61,107,7263
7,11,2,3,61,1,0,0,61,107,7263
7,11,3,2,61,1,0,0,61,107,7263
7,11,4,3,61,1,0,0,61,107,7263
7,11,5,3,61,1,0,0,61,107,7263
7,12,1,2,62,1,0,0,62,117,7285
7,12,2,4,62,1,0,0,62,117,7285
7,12,3,1,62,1,0,0,62,117,7285
7,12,4,3,62,1,0,0,62,117,7285
7,12,5,3,62,1,0,0,62,117,7285
7,13,1,1,63,1,0,0,63,127,7307
7,13,2,3,63,1,0,0,63,127,7307
7,13,3,3,63,1,0,0,63,127,7307
7,13,4,3,63,1,0,0,63,127,7307
7,13,5,3,63,1,0,0,63,127,7307
7,14,1,3,64,1,0,1,64,137,7329
7,14,2,3,64,1,0,1,64,137,7329
7,14,3,3,64,1,0,1,64,137,7329
7,14,4,3,64,1,0,1,64,137,7329
7,14,5,3,64,1,0,1,64,137,7329
7,15,1,1,65,1,0,0,65,147,7351
7,15,2,3,65,1,0,0,65,147,7351
7,15,3,1,65,1,0,0,65,147,7351
7,15,4,3,65,1,0,0,65,147,7351
7,15,5,2,65,1,0,0,65,147,7351
7,16,1,1,66,1,0,0,66,157,7373
7,16,2,2,66,1,0,0,66,157,7373
7,16,3,1,66,1,0,0,66,157,7373
7,16,4,3,66,1,0,0,66,157,7373
7,16,5,2,66,1,0,0,66,157,7373
7,17,1,3,67,1,0,1,67,167,7395
7,17,2,3,67,1,0,1,67,167,7395
7,17,3,3,67,1,0,1,67,167,7395
7,17,4,3,67,1,0,1,67,167,7395
7,17,5,3,67,1,0,1,67,167,7395
7,18,1,2,68,1,0,0,68,177,7417
7,18,2,4,68,1,0,0,68,177,7417
7,18,3,2,68,1,0,0,68,177,7417
7,18,4,3,68,1,0,0,68,177,7417
7,18,5,2,68,1,0,0,68,177,7417
7,19,1,2,69,1,0,1,69,187,7439
7,19,2,3,69,1,0,1,69,187,7439
7,19,3,3,69,1,0,1,69,187,7439
7,19,4,3,69,1,0,1,69,187,7439
7,19,5,2,69,1,0,1,69,187,7439
7,20,1,3,70,1,0,1,70,197,7463
7,20,2,3,70,1,0,1,70,197,7463
7,20,3,3,70,1,0,1,70,197,7463
7,20,4,3,70,1,0,1,70,197,7463
7,20,5,3,70,1,0,1,70,197,7463
8,11,1,2,71,1,0,1,71,108,7485
8,11,2,3,71,1,0,1,71,108,7485
8,11,3,1,71,1,0,1,71,108,7485
8,11,4,3,71,1,0,1,71,108,7485
8,11,5,1,71,1,0,1,71,108,7485
8,12,1,3,72,1,0,1,72,118,7507
8,12,2,2,72,1,0,1,72,118,7507
8,12,3,4,72,1,0,1,72,118,7507
8,12,4,3,72,1,0,1,72,118,7507
8,12,5,3,72,1,0,1,72,118,7507
8,13,1,2,73,1,0,1,73,128,7529
8,13,2,3,73,1,0,1,73,128,7529
8,13,3,2,73,1,0,1,73,128,7529
8,13,4,3,73,1,0,1,73,128,7529
8,13,5,2,73,1,0,1,73,128,7529
8,14,1,3,74,1,0,1,74,138,7551
8,14,2,2,74,1,0,1,74,138,7551
8,14,3,2,74,1,0,1,74,138,7551
8,14,4,2,74,1,0,1,74,138,7551
8,14,5,2,74,1,0,1,74,138,7551
8,15,1,2,75,1,0,1,75,148,7573
8,15,2,2,75,1,0,1,75,148,7573
8,15,3,2,75,1,0,1,75,148,7573
8,15,4,3,75,1,0,1,75,148,7573
8,15,5,2,75,1,0,1,75,148,7573
8,16,1,2,76,1,0,1,76,158,7595
8,16,2,2,76,1,0,1,76,158,7595
8,16,3,2,76,1,0,1,76,158,7595
8,16,4,3,76,1,0,1,76,158,7595
8,16,5,2,76,1,0,1,76,158,7595
8,17,1,2,77,1,0,1,77,168,7617
8,17,2,3,77,1,0,1,77,168,7617
8,17,3,2,77,1,0,1,77,168,7617
8,17,4,3,77,1,0,1,77,168,7617
8,17,5,2,77,1,0,1,77,168,7617
8,18,1,2,78,1,0,1,78,178,7639
8,18,2,2,78,1,0,1,78,178,7639
8,18,3,1,78,1,0,1,78,178,7639
8,18,4,3,78,1,0,1,78,178,7639
8,18,5,2,78,1,0,1,78,178,7639
8,19,1,3,79,1,0,1,79,188,7661
8,19,2,3,79,1,0,1,79,188,7661
8,19,3,4,79,1,0,1,79,188,7661
8,19,4,2,79,1,0,1,79,188,7661
8,19,5,3,79,1,0,1,79,188,7661
8,20,1,3,80,1,0,1,80,198,7685
8,20,2,4,80,1,0,1,80,198,7685
8,20,3,3,80,1,0,1,80,198,7685
8,20,4,3,80,1,0,1,80,198,7685
8,20,5,3,80,1,0,1,80,198,7685
9,11,1,3,81,1,0,1,81,109,7707
9,11,2,3,81,1,0,1,81,109,7707
9,11,3,3,81,1,0,1,81,109,7707
9,11,4,4,81,1,0,1,81,109,7707
9,11,5,2,81,1,0,1,81,109,7707
9,12,1,4,82,1,0,1,82,119,7729
9,12,2,4,82,1,0,1,82,119,7729
9,12,3,4,82,1,0,1,82,119,7729
9,12,4,4,82,1,0,1,82,119,7729
9,12,5,4,82,1,0,1,82,119,7729
9,13,1,2,83,1,0,1,83,129,7751
9,13,2,2,83,1,0,1,83,129,7751
9,13,3,2,83,1,0,1,83,129,7751
9,13,4,4,83,1,0,1,83,129,7751
9,13,5,3,83,1,0,1,83,129,7751
9,14,1,4,84,1,0,1,84,139,7773
9,14,2,3,84,1,0,1,84,139,7773
9,14,3,3,84,1,0,1,84,139,7773
9,14,4,3,84,1,0,1,84,139,7773
9,14,5,3,84,1,0,1,84,139,7773
9,15,1,2,85,1,0,1,85,149,7795
9,15,2,2,85,1,0,1,85,149,7795
9,15,3,3,85,1,0,1,85,149,7795
9,15,4,3,85,1,0,1,85,149,7795
9,15,5,2,85,1,0,1,85,149,7795
9,16,1,3,86,1,0,1,86,159,7817
9,16,2,2,86,1,0,1,86,159,7817
9,16,3,3,86,1,0,1,86,159,7817
9,16,4,4,86,1,0,1,86,159,7817
9,16,5,2,86,1,0,1,86,159,7817
9,17,1,2,87,1,0,1,87,169,7839
9,17,2,2,87,1,0,1,87,169,7839
9,17,3,2,87,1,0,1,87,169,7839
9,17,4,4,87,1,0,1,87,169,7839
9,17,5,3,87,1,0,1,87,169,7839
9,18,1,2,88,1,0,1,88,179,7861
9,18,2,4,88,1,0,1,88,179,7861
9,18,3,3,88,1,0,1,88,179,7861
9,18,4,3,88,1,0,1,88,179,7861
9,18,5,3,88,1,0,1,88,179,7861
9,19,1,3,89,1,0,1,89,189,7883
9,19,2,2,89,1,0,1,89,189,7883
9,19,3,2,89,1,0,1,89,189,7883
9,19,4,2,89,1,0,1,89,189,7883
9,19,5,3,89,1,0,1,89,189,7883
9,20,1,3,90,1,0,1,90,199,7907
9,20,2,3,90,1,0,1,90,199,7907
9,20,3,3,90,1,0,1,90,199,7907
9,20,4,3,90,1,0,1,90,199,7907
9,20,5,3,90,1,0,1,90,199,7907
10,11,1,2,91,1,0,0,91,110,7929
10,11,2,2,91,1,0,0,91,110,7929
10,11,3,2,91,1,0,0,91,110,7929
10,11,4,4,91,1,0,0,91,110,7929
10,11,5,2,91,1,0,0,91,110,7929
10,12,1,0,92,1,0,0,92,120,7951
10,12,2,0,92,1,0,0,92,120,7951
10,12,3,0,92,1,0,0,92,120,7951
10,12,4,0,92,1,0,0,92,120,7951
10,12,5,0,92,1,0,0,92,120,7951
10,13,1,2,93,1,0,1,93,130,7973
10,13,2,2,93,1,0,1,93,130,7973
10,13,3,4,93,1,0,1,93,130,7973
10,13,4,4,93,1,0,1,93,130,7973
10,13,5,3,93,1,0,1,93,130,7973
10,14,1,4,94,1,0,0,94,140,7995
10,14,2,4,94,1,0,0,94,140,7995
10,14,3,4,94,1,0,0,94,140,7995
10,14,4,4,94,1,0,0,94,140,7995
10,14,5,4,94,1,0,0,94,140,7995
10,15,1,2,95,1,0,0,95,150,8017
10,15,2,3,95,1,0,0,95,150,8017
10,15,3,3,95,1,0,0,95,150,8017
10,15,4,3,95,1,0,0,95,150,8017
10,15,5,2,95,1,0,0,95,150,8017
10,16,1,2,96,1,0,0,96,160,8039
10,16,2,2,96,1,0,0,96,160,8039
10,16,3,1,96,1,0,0,96,160,8039
10,16,4,2,96,1,0,0,96,160,8039
10,16,5,2,96,1,0,0,96,160,8039
10,17,1,2,97,1,0,1,97,170,8061
10,17,2,4,97,1,0,1,97,170,8061
10,17,3,2,97,1,0,1,97,170,8061
10,17,4,3,97,1,0,1,97,170,8061
10,17,5,3,97,1,0,1,97,170,8061
10,18,1,2,98,1,0,0,98,180,8083
10,18,2,2,98,1,0,0,98,180,8083
10,18,3,1,98,1,0,0,98,180,8083
10,18,4,2,98,1,0,0,98,180,8083
10,18,5,2,98,1,0,0,98,180,8083
10,19,1,4,99,1,0,1,99,190,8105
10,19,2,4,99,1,0,1,99,190,8105
10,19,3,4,99,1,0,1,99,190,8105
10,19,4,4,99,1,0,1,99,190,8105
10,19,5,4,99,1,0,1,99,190,8105
10,20,1,4,100,1,0,1,100,200,5
10,20,2,3,100,1,0,1,100,200,5
10,20,3,4,100,1,0,1,100,200,5
10,20,4,3,100,1,0,1,100,200,5
10,20,5,4,100,1,0,1,100,200,5
11,1,1,2,1,2,1,0,101,1,2
11,1,2,3,1,2,1,0,101,1,2
11,1,3,3,1,2,1,0,101,1,2
11,1,4,3,1,2,1,0,101,1,2
11,1,5,3,1,2,1,0,101,1,2
11,2,1,3,11,2,1,0,102,11,226
11,2,2,3,11,2,1,0,102,11,226
11,2,3,4,11,2,1,0,102,11,226
11,2,4,2,11,2,1,0,102,11,226
11,2,5,3,11,2,1,0,102,11,226
11,3,1,3,21,2,1,0,103,21,2448
11,3,2,3,21,2,1,0,103,21,2448
11,3,3,2,21,2,1,0,103,21,2448
11,3,4,2,21,2,1,0,103,21,2448
11,3,5,2,21,2,1,0,103,21,2448
11,4,1,2,31,2,1,0,104,31,4670
11,4,2,3,31,2,1,0,104,31,4670
11,4,3,3,31,2,1,0,104,31,4670
11,4,4,3,31,2,1,0,104,31,4670
11,4,5,2,31,2,1,0,104,31,4670
11,5,1,2,41,2,1,0,105,41,6820
11,5,2,3,41,2,1,0,105,41,6820
11,5,3,3,41,2,1,0,105,41,6820
11,5,4,3,41,2,1,0,105,41,6820
11,5,5,2,41,2,1,0,105,41,6820
11,6,1,3,51,2,1,0,106,51,7042
11,6,2,3,51,2,1,0,106,51,7042
11,6,3,4,51,2,1,0,106,51,7042
11,6,4,3,51,2,1,0,106,51,7042
11,6,5,3,51,2,1,0,106,51,7042
11,7,1,3,61,2,1,0,107,61,7264
11,7,2,3,61,2,1,0,107,61,7264
11,7,3,3,61,2,1,0,107,61,7264
11,7,4,3,61,2,1,0,107,61,7264
11,7,5,3,61,2,1,0,107,61,7264
11,8,1,3,71,2,1,0,108,71,7486
11,8,2,2,71,2,1,0,108,71,7486
11,8,3,2,71,2,1,0,108,71,7486
11,8,4,2,71,2,1,0,108,71,7486
11,8,5,3,71,2,1,0,108,71,7486
11,9,1,2,81,2,1,0,109,81,7708
11,9,2,3,81,2,1,0,109,81,7708
11,9,3,3,81,2,1,0,109,81,7708
11,9,4,3,81,2,1,0,109,81,7708
11,9,5,2,81,2,1,0,109,81,7708
11,10,1,3,91,2,1,0,110,91,7930
11,10,2,2,91,2,1,0,110,91,7930
11,10,3,3,91,2,1,0,110,91,7930
11,10,4,3,91,2,1,0,110,91,7930
11,10,5,2,91,2,1,0,110,91,7930
12,1,1,3,2,2,1,0,111,2,2224
12,1,2,3,2,2,1,0,111,2,2224
12,1,3,3,2,2,1,0,111,2,2224
12,1,4,4,2,2,1,0,111,2,2224
12,1,5,3,2,2,1,0,111,2,2224
12,2,1,3,12,2,1,0,112,12,448
12,2,2,2,12,2,1,0,112,12,448
12,2,3,2,12,2,1,0,112,12,448
12,2,4,4,12,2,1,0,112,12,448
12,2,5,3,12,2,1,0,112,12,448
12,3,1,2,22,2,1,0,113,22,2670
12,3,2,2,22,2,1,0,113,22,2670
12,3,3,2,22,2,1,0,113,22,2670
12,3,4,4,22,2,1,0,113,22,2670
12,3,5,3,22,2,1,0,113,22,2670
12,4,1,2,32,2,1,0,114,32,4892
12,4,2,2,32,2,1,0,114,32,4892
12,4,3,2,32,2,1,0,114,32,4892
12,4,4,4,32,2,1,0,114,32,4892
12,4,5,2,32,2,1,0,114,32,4892
12,5,1,2,42,2,1,0,115,42,6842
12,5,2,2,42,2,1,0,115,42,6842
12,5,3,3,42,2,1,0,115,42,6842
12,5,4,4,42,2,1,0,115,42,6842
12,5,5,3,42,2,1,0,115,42,6842
12,6,1,2,52,2,1,0,116,52,7064
12,6,2,3,52,2,1,0,116,52,7064
12,6,3,2,52,2,1,0,116,52,7064
12,6,4,4,52,2,1,0,116,52,7064
12,6,5,3,52,2,1,0,116,52,7064
12,7,1,3,62,2,1,1,117,62,7286
12,7,2,2,62,2,1,1,117,62,7286
12,7,3,2,62,2,1,1,117,62,7286
12,7,4,4,62,2,1,1,117,62,7286
12,7,5,3,62,2,1,1,117,62,7286
12,8,1,3,72,2,1,1,118,72,7508
12,8,2,2,72,2,1,1,118,72,7508
12,8,3,3,72,2,1,1,118,72,7508
12,8,4,4,72,2,1,1,118,72,7508
12,8,5,4,72,2,1,1,118,72,7508
12,9,1,3,82,2,1,1,119,82,7730
12,9,2,2,82,2,1,1,119,82,7730
12,9,3,3,82,2,1,1,119,82,7730
12,9,4,4,82,2,1,1,119,82,7730
12,9,5,3,82,2,1,1,119,82,7730
12,10,1,0,92,2,1,0,120,92,7952
12,10,2,0,92,2,1,0,120,92,7952
12,10,3,0,92,2,1,0,120,92,7952
12,10,4,0,92,2,1,0,120,92,7952
12,10,5,0,92,2,1,0,120,92,7952
13,1,1,4,3,2,1,1,121,3,4446
13,1,2,4,3,2,1,1,121,3,4446
13,1,3,4,3,2,1,1,121,3,4446
13,1,4,4,3,2,1,1,121,3,4446
13,1,5,4,3,2,1,1,121,3,4446
13,2,1,4,13,2,1,1,122,13,670
13,2,2,4,13,2,1,1,122,13,670
